sectors,sector_budgets,sector_num_projects,name_project,type_project,budget_project,startday_project,enddate_project,area_project,region_project,status_project
 تجاري,1058790791316,902,برج غرفة الشرقية الاستثماري – Asharqia Chamber Investment Tower                  ,تجاري,335000000.0,03-07-2019,31-12-2021,"7,752 متر مربع","المنطقة الشرقية, الدمام",تحت الإنشاء
 تجاري,1058790791316,902,مقر برايس ووتر هاوس كوبرز – PWC Headquarter                  ,"تجاري, سكني",,01-01-2010,,"8,000 متر مربع","منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,مقر المدفوعات السعودية – Saudi Payment Headquarter                  ,"تجاري, سكني",1178000000.0,01-01-2009,31-12-2014,"19,500 متر مربع","منطقة الرياض, الرياض",مكتمل
 تجاري,1058790791316,902,الاحساء ستريب مول – Ahsa Strip Mall                  ,تجاري,,,,"19,888 متر مربع","المنطقة الشرقية, الأحساء",معلن عنه
 تجاري,1058790791316,902,برج الدايل – Al-Dailh Tower                  ,"فندقي, تجاري",120000000.0,01-06-2019,31-03-2022,"3,651 متر مربع","منطقة مكة المكرمة, جدة",تحت الإنشاء
 تجاري,1058790791316,902,برج سماسكو – SMASCO Tower                  ,"تجاري, سكني",,,,"4,100 متر مربع","منطقة الرياض, الرياض",المشاريع المقترحة
 تجاري,1058790791316,902,بغلف افينيو – Baghlaf Avenue                  ,"تجاري, سكني",,,,,"منطقة مكة المكرمة, جدة",المشاريع المقترحة
 تجاري,1058790791316,902,قرية العبيكان و ماسك – Obeikan & Masic Village                  ,"فندقي, تجاري, صناعي",,,,"163,000 متر مربع","منطقة الرياض, الرياض",المشاريع المقترحة
 تجاري,1058790791316,902,واحة الطائف – Taif Oasis                  ,"فندقي, تجاري",50000000.0,,,"7,940 متر مربع","منطقة مكة المكرمة, الطائف",المشاريع المقترحة
 تجاري,1058790791316,902,دبل تري جدة – DoubleTree Jeddah                  ,"فندقي, تجاري",,,,"8,759 متر مربع","منطقة مكة المكرمة, جدة",معلن عنه
 تجاري,1058790791316,902,بوكس بارك – Box Park                  ,تجاري,,,,"7,000 متر مربع","منطقة مكة المكرمة, جدة",المشاريع المقترحة
 تجاري,1058790791316,902,النخيل بلازا – Nakheel Plaza                  ,"فندقي, تجاري",,01-03-2017,,"15,252 متر مربع","منطقة مكة المكرمة, الطائف",تحت الإنشاء
 تجاري,1058790791316,902,مركز الأبحاث – Think Tank                  ,"فندقي, تجاري, ترفيهي/سياحي, علمي",,,,,"منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية",المشاريع المقترحة
 تجاري,1058790791316,902,كيوبيك – QBIC                  ,تجاري,,01-07-2016,,"17,344 متر مربع","منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,خطوات أبها – Abha Steps                  ,"فندقي, تجاري",,,,,"منطقة عسير, أبها",المشاريع المقترحة
 تجاري,1058790791316,902,أرض أبها – Abha Land                  ,تجاري,,,,,"منطقة عسير, أبها",المشاريع المقترحة
 تجاري,1058790791316,902,مجمع مكتبي – Office Complex                  ,تجاري,,,,,"منطقة مكة المكرمة, جدة",المشاريع المقترحة
 تجاري,1058790791316,902,مجمع سكني – Housing Complex                  ,"تجاري, سكني",,,,"9,600 متر مربع","منطقة مكة المكرمة, جدة",معلن عنه
 تجاري,1058790791316,902,كينج ووك – King Walk                  ,"فندقي, تجاري",,,,,"منطقة مكة المكرمة, جدة",معلن عنه
 تجاري,1058790791316,902,مطعم باب التراث – Bab Al-Turath Resturant                  ,تجاري,,,,,"منطقة عسير, أبها",معلن عنه
 تجاري,1058790791316,902,شرفة – Shurfa                  ,تجاري,,01-07-2018,30-09-2019,"5,400 متر مربع","منطقة عسير, أبها",تحت الإنشاء
 تجاري,1058790791316,902,شموخ بلازا – Shumok Plaza                  ,تجاري,,25-03-2017,,4744 متر مربع,"المنطقة الشرقية, الدمام",تحت الإنشاء
 تجاري,1058790791316,902,مول صاري – Sari Mall                  ,تجاري,,,,,"منطقة مكة المكرمة, جدة",المشاريع المقترحة
 تجاري,1058790791316,902,مجمع متعدد الاستخدام – Mixed Use Complex                  ,"فندقي, تجاري",,01-07-2016,,"5,000 متر مربع","نجران, منطقة نجران",تحت الإنشاء
 تجاري,1058790791316,902,مدينة الطيار – Al Tayyar City                  ,"فندقي, تجاري, ترفيهي/سياحي",,,,"278,709 متر مربع","منطقة الرياض, الرياض",المشاريع المقترحة
 تجاري,1058790791316,902,مبنى ممشى التحلية – Tahlia Walk Building                  ,تجاري,,,,"1,600 متر مربع","منطقة مكة المكرمة, جدة",معلن عنه
 تجاري,1058790791316,902,ساحة دان – Dan Plaza                  ,تجاري,,17-10-2018,,"20,000 متر مربع","مكة المكرمة, منطقة مكة المكرمة",تحت الإنشاء
 تجاري,1058790791316,902,فندق ميلينيوم بليس – Millennium Place                  ,"فندقي, تجاري",,,,,"منطقة الرياض, الرياض",المشاريع المقترحة
 تجاري,1058790791316,902,مجمع غراسيا – Gracia Complex                  ,تجاري,,01-06-2018,31-03-2019,"4,400 متر مربع","المنطقة الشرقية, الخبر",متأخر
 تجاري,1058790791316,902,ايكيا الثمامة – IKEA Thumama                  ,تجاري,,,,"96,000 متر مربع","منطقة الرياض, الرياض",معلن عنه
 تجاري,1058790791316,902,ذا كيرف مول – The Curve Mall                  ,تجاري,8000000.0,01-11-2018,,"12,000 متر مربع","المنطقة الشرقية, الدمام",تحت الإنشاء
 تجاري,1058790791316,902,أبراج قناة البيلسان – Bay La Sun Canal Towers                  ,"تجاري, سكني",,,,"62,000 متر مربع","منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية",المشاريع المقترحة
 تجاري,1058790791316,902,ذا ايليت – The Elite                  ,تجاري,,01-07-2015,31-03-2019,"9,700 متر مربع","منطقة الرياض, الرياض",متأخر
 تجاري,1058790791316,902,الملقا وارف – Al-Malqa Wharf                  ,"فندقي, تجاري",,,,4040 متر مربع,"منطقة الرياض, الرياض",معلن عنه
 تجاري,1058790791316,902,برج ميم – M Tower                  ,تجاري,,,,,"منطقة مكة المكرمة, جدة",معلن عنه
 تجاري,1058790791316,902,شرفات بارك الخير – Shorofat Park Alkhair                  ,تجاري,,01-06-2016,,"4,000 متر مربع","منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,شرفات بارك الراكة – Shorofat Park Rakkah                  ,تجاري,,01-06-2018,,"52,600 متر مربع","المنطقة الشرقية, الخبر",تحت الإنشاء
 تجاري,1058790791316,902,فندق دار جدة – Dar Jeddah Hotel                  ,"فندقي, تجاري",,,,2500 متر مربع,"منطقة مكة المكرمة, جدة",المشاريع المقترحة
 تجاري,1058790791316,902,أسطبل بريدة – Buraydah Stables                  ,تجاري,,,,,"منطقة القصيم, بريدة",المشاريع المقترحة
 تجاري,1058790791316,902,بارك ان الرياض العليا – Park Inn Riyadh Olaya                  ,"فندقي, تجاري",,01-11-2017,,"11,000 متر مربع","منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,فندق خبتي جراند – Khabty Grand Hotel                  ,"فندقي, تجاري",,01-10-2013,,"5,500 متر مربع","منطقة عسير, بيشة",تحت الإنشاء
 تجاري,1058790791316,902,ثروات لوجستيك سيتي – Tharwat Logistic City                  ,"تجاري, سكني, صناعي",,01-05-2017,,"1,700,000 متر مربع","منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,صناعية الشمال – North Industrial                  ,"تجاري, صناعي",,01-03-2017,,"250,000 متر مربع","منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,بن سكوير – Bin Square                  ,تجاري,,,,"2,747 متر مربع","منطقة مكة المكرمة, جدة",معلن عنه
 تجاري,1058790791316,902,مجمع داينمك – Dynamic Complex                  ,تجاري,,,,"4,731 متر مربع","منطقة مكة المكرمة, جدة",معلن عنه
 تجاري,1058790791316,902,حلم أبها  –  The Dream of Abha                  ,"فندقي, البنية التحتية, تجاري, ترفيهي/سياحي, حكومي",,,,"17,000,000 متر مربع","منطقة عسير, أبها",المشاريع المقترحة
 تجاري,1058790791316,902,سيتي فيوز 2- City Views 2                  ,"فندقي, تجاري, سكني",,,,"32,645 متر مربع","منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية",معلن عنه
 تجاري,1058790791316,902,تلال أبها – Tilal Abha                  ,"فندقي, تجاري, سكني",206250000.0,01-02-2017,,"18,213 متر مريع","منطقة عسير, أبها",تحت الإنشاء
 تجاري,1058790791316,902,فنادق ايبيس و أداجيو و نوفوتيل الأندلس –  Novotel & Ibis...                  ,"فندقي, تجاري",,,,"9,500 متر مربع","منطقة مكة المكرمة, جدة",معلن عنه
 تجاري,1058790791316,902,مدينة الورود – Medinat Alwurud                  ,"تجاري, سكني",,01-01-2019,,"9,000,000 متر مربع","منطقة مكة المكرمة, الطائف",تحت الإنشاء
 تجاري,1058790791316,902,بن جلوي بارك – Bin Glawy Park                  ,تجاري,18750000.0,,,"8,000 متر مربع","المنطقة الشرقية, الخبر",المشاريع المقترحة
 تجاري,1058790791316,902,ضاحية الحسينية – Al Husayniyah Subrub                  ,"فندقي, البنية التحتية, تجاري, ترفيهي/سياحي, ديني/خيري, سكني",,,,"7,541,130 متر مربع","مكة المكرمة, منطقة مكة المكرمة",معلن عنه
 تجاري,1058790791316,902,ربى مكة – Ruba Makkah                  ,"فندقي, تجاري",,02-06-2018,06-10-2021,"3,989 متر مربع","مكة المكرمة, منطقة مكة المكرمة",تحت الإنشاء
 تجاري,1058790791316,902,بارك ان الدمام ويست أفينيو – Park Inn Dammam West Avenue                  ,"فندقي, تجاري",,30-11-2017,31-12-2019,"8,300 متر مربع","المنطقة الشرقية, الدمام",تحت الإنشاء
 تجاري,1058790791316,902,باك يارد – Back Yard                  ,تجاري,,,,"8,479 متر مربع","منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,ردسي مول (التوسعة الثانية) – (Red Sea Mall (2nd Expansion                  ,"تجاري, ترفيهي/سياحي",,03-08-2017,31-12-2018,"13,000 متر مربع","منطقة مكة المكرمة, جدة",متأخر
 تجاري,1058790791316,902,برج مكتبي طريق المدينة –  Madinah Road Office Tower                  ,تجاري,,,,2500 متر مربع,"منطقة مكة المكرمة, جدة",المشاريع المقترحة
 تجاري,1058790791316,902,مركز جمعية النحالين – Beekeepers Cooperative Center                  ,تجاري,,18-04-2018,,,"منطقة الباحة, بلجرشي",تحت الإنشاء
 تجاري,1058790791316,902,سيتي فيوز 1- City Views 1                  ,"فندقي, تجاري, سكني",,,,"40,391 متر مربع","منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية",معلن عنه
 تجاري,1058790791316,902,مجمع الأمير نايف بن عبدالعزيز – Prince Naif Bin Abdulaziz Complex...                  ,"فندقي, تجاري, سكني",,,,"405,898 متر مربع","مكة المكرمة, منطقة مكة المكرمة",المشاريع المقترحة
 تجاري,1058790791316,902,سلطان غالريا – Sultan Galleria                  ,"فندقي, تجاري",,,,"15,000 متر مربع","منطقة مكة المكرمة, جدة",معلن عنه
 تجاري,1058790791316,902,ياسمينا درايف – Yasmina Drive                  ,تجاري,,,,8800 متر مربع,"منطقة الرياض, الرياض",معلن عنه
 تجاري,1058790791316,902,النرجس سكوير – Alnarjes Square                  ,تجاري,,,,,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,الصفوة جاردن – Safwah Garden                  ,"فندقي, تجاري, سكني",,,,"207,212 متر مربع","منطقة جازان, جازان",معلن عنه
 تجاري,1058790791316,902,منتجعات شرما – Sharma Resorts                  ,"تجاري, ترفيهي/سياحي",,,,105،000 متر مربع,"منطقة تبوك, شرما",معلن عنه
 تجاري,1058790791316,902,تكامل – Tkamul                  ,تجاري,,,,,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,أبراج الربيع – SPRING TOWER                  ,"فندقي, تجاري",,,,,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,مقر موبايلي – Mobily Center                  ,"البنية التحتية, تجاري",600000000.0,03-07-2013,,,"منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية",معلن عنه
 تجاري,1058790791316,902,مجمع الخليج السكني – Al Gulf Residence Compound                  ,"تجاري, سكني",112500000.0,,,"30,000 متر مربع","منطقة مكة المكرمة, الطائف",المشاريع المقترحة
 تجاري,1058790791316,902,لبن بلازا – Laban Plaza                  ,تجاري,,01-11-2016,31-12-2017,7759 متر مربع,"منطقة الرياض, الرياض",مكتمل
 تجاري,1058790791316,902,تطوير الفيصلية – Faysaliah Development                  ,"تجاري, سكني",,,,"17,000 متر مربع","منطقة مكة المكرمة, جدة",المشاريع المقترحة
 تجاري,1058790791316,902,بارك ان جدة – Park Inn Jeddah                  ,"فندقي, تجاري, سكني",,,,"20,000 متر مربع","منطقة مكة المكرمة, جدة",معلن عنه
 تجاري,1058790791316,902,اتيلييه لافي – Atelier Lavie                  ,تجاري,,01-12-2017,,"28,800 متر مربع","منطقة مكة المكرمة, جدة",تحت الإنشاء
 تجاري,1058790791316,902,مجمع حمدان التجاري – Hammdan Commercial Complex                  ,تجاري,,,,"11,600 متر مربع","منطقة مكة المكرمة, جدة",المشاريع المقترحة
 تجاري,1058790791316,902,منصور رويال – Mansour Royal                  ,"فندقي, تجاري",,01-05-2016,,,"منطقة المدينة المنورة, المدينة المنورة",تحت الإنشاء
 تجاري,1058790791316,902,مجمع مطاعم – Restaurant Complex                  ,تجاري,,23-03-2017,06-10-2018,8500 متر مربع,"منطقة المدينة المنورة, المدينة المنورة",متأخر
 تجاري,1058790791316,902,راديسون بلو الإحساء – Radisson Blu Al Ahsa                  ,"فندقي, تجاري",,01-01-2013,,,"المنطقة الشرقية, الأحساء",تحت الإنشاء
 تجاري,1058790791316,902,برج يوسف محمد ناغي – Yousef Muhammad Naghi Tower                  ,تجاري,45000000.0,01-02-2014,,1500 متر مربع,"منطقة مكة المكرمة, جدة",تحت الإنشاء
 تجاري,1058790791316,902,الخريجي مول – EL KHERIJI SHOPPING MAL                  ,تجاري,,,,"15,700 متر مربع","المنطقة الشرقية, الخبر",معلن عنه
 تجاري,1058790791316,902,تال بلازا – Tal Plaza                  ,تجاري,,,,7000 مترمربع,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,سمارت بوليفارد – Smart Boulevard                  ,"فندقي, تجاري, سكني",,,,"380,000 متر مربع","المنطقة الشرقية, الدمام",معلن عنه
 تجاري,1058790791316,902,سمارت سكوير – SMART SQUARE                  ,"فندقي, تجاري",,,,140 ألف م2,"منطقة الرياض, الرياض",معلن عنه
 تجاري,1058790791316,902,برج رؤيا المالية – Vision Capital Tower                  ,"فندقي, تجاري",150000000.0,,,3563 متر مربع,"منطقة مكة المكرمة, جدة",معلن عنه
