,sectors,sector_budgets,sector_num_projects,name_project,type_project,budget_project,startday_project,enddate_project,area_project,region_project,status_project,project_area,unit
0, Commercial,1058790791316,902,برج غرفة الشرقية الاستثماري – Asharqia Chamber Investment Tower                  ,Commercial,335000000.0,03-07-2019,31-12-2021,"7,752 متر مربع",ALDAMMAM,Under the construction,7752.0,square meter
1, Commercial,1058790791316,902,مقر برايس ووتر هاوس كوبرز – PWC Headquarter                  ,"Commercial, Residential",,01-01-2010,,"8,000 متر مربع",RIYADH,Under the construction,8000.0,square meter
2, Commercial,1058790791316,902,مقر المدفوعات السعودية – Saudi Payment Headquarter                  ,"Commercial, Residential",1178000000.0,01-01-2009,31-12-2014,"19,500 متر مربع",RIYADH,Complete,19500.0,square meter
3, Commercial,1058790791316,902,الاحساء ستريب مول – Ahsa Strip Mall                  ,Commercial,,,,"19,888 متر مربع",ALHASSA,Announced,19888.0,square meter
4, Commercial,1058790791316,902,برج الدايل – Al-Dailh Tower                  ,"Hotel, Commercial",120000000.0,01-06-2019,31-03-2022,"3,651 متر مربع",JEDDAH,Under the construction,3651.0,square meter
5, Commercial,1058790791316,902,برج سماسكو – SMASCO Tower                  ,"Commercial, Residential",,,,"4,100 متر مربع",RIYADH,Suggested projects,4100.0,square meter
6, Commercial,1058790791316,902,بغلف افينيو – Baghlaf Avenue                  ,"Commercial, Residential",,,,,JEDDAH,Suggested projects,,square meter
7, Commercial,1058790791316,902,قرية العبيكان و ماسك – Obeikan & Masic Village                  ,"Hotel, Commercial, Industrial",,,,"163,000 متر مربع",RIYADH,Suggested projects,163000.0,square meter
8, Commercial,1058790791316,902,واحة الطائف – Taif Oasis                  ,"Hotel, Commercial",50000000.0,,,"7,940 متر مربع",ALTAIF,Suggested projects,7940.0,square meter
9, Commercial,1058790791316,902,دبل تري جدة – DoubleTree Jeddah                  ,"Hotel, Commercial",,,,"8,759 متر مربع",JEDDAH,Announced,8759.0,square meter
10, Commercial,1058790791316,902,بوكس بارك – Box Park                  ,Commercial,,,,"7,000 متر مربع",JEDDAH,Suggested projects,7000.0,square meter
11, Commercial,1058790791316,902,النخيل بلازا – Nakheel Plaza                  ,"Hotel, Commercial",,01-03-2017,,"15,252 متر مربع",ALTAIF,Under the construction,15252.0,square meter
12, Commercial,1058790791316,902,مركز الأبحاث – Think Tank                  ,"Hotel, Commercial, Tourist, Scientific",,,,,KING ABDULLAH CITY,Suggested projects,,square meter
13, Commercial,1058790791316,902,كيوبيك – QBIC                  ,Commercial,,01-07-2016,,"17,344 متر مربع",RIYADH,Under the construction,17344.0,square meter
14, Commercial,1058790791316,902,خطوات أبها – Abha Steps                  ,"Hotel, Commercial",,,,,ABHA,Suggested projects,,square meter
15, Commercial,1058790791316,902,أرض أبها – Abha Land                  ,Commercial,,,,,ABHA,Suggested projects,,square meter
16, Commercial,1058790791316,902,مجمع مكتبي – Office Complex                  ,Commercial,,,,,JEDDAH,Suggested projects,,square meter
17, Commercial,1058790791316,902,مجمع سكني – Housing Complex                  ,"Commercial, Residential",,,,"9,600 متر مربع",JEDDAH,Announced,9600.0,square meter
18, Commercial,1058790791316,902,كينج ووك – King Walk                  ,"Hotel, Commercial",,,,,JEDDAH,Announced,,square meter
19, Commercial,1058790791316,902,مطعم باب التراث – Bab Al-Turath Resturant                  ,Commercial,,,,,ABHA,Announced,,square meter
20, Commercial,1058790791316,902,شرفة – Shurfa                  ,Commercial,,01-07-2018,30-09-2019,"5,400 متر مربع",ABHA,Under the construction,5400.0,square meter
