,sectors,sector_budgets,type_project,budget_project,startday_project,start_year,start_month,enddate_project,end_year,end_month,duration_project,project_area,region_project,status_project
0, Commercial,1058790791316,Commercial,335000000.0,2019-07-03,2019.0,7.0,2021-12-31,2021.0,12.0,912.0,7752.0,ALDAMMAM,Under the construction
1, Commercial,1058790791316,"Commercial, Residential",,2010-01-01,2010.0,1.0,,,,,8000.0,RIYADH,Under the construction
2, Commercial,1058790791316,"Commercial, Residential",1178000000.0,2009-01-01,2009.0,1.0,2014-12-31,2014.0,12.0,2190.0,19500.0,RIYADH,Complete
3, Commercial,1058790791316,Commercial,,,,,,,,,19888.0,ALHASSA,Announced
4, Commercial,1058790791316,"Hotel, Commercial",120000000.0,2019-06-01,2019.0,6.0,2022-03-31,2022.0,3.0,1034.0,3651.0,JEDDAH,Under the construction
5, Commercial,1058790791316,"Commercial, Residential",,,,,,,,,4100.0,RIYADH,Suggested projects
6, Commercial,1058790791316,"Commercial, Residential",,,,,,,,,,JEDDAH,Suggested projects
7, Commercial,1058790791316,"Hotel, Commercial, Industrial",,,,,,,,,163000.0,RIYADH,Suggested projects
8, Commercial,1058790791316,"Hotel, Commercial",50000000.0,,,,,,,,7940.0,ALTAIF,Suggested projects
9, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,8759.0,JEDDAH,Announced
10, Commercial,1058790791316,Commercial,,,,,,,,,7000.0,JEDDAH,Suggested projects
11, Commercial,1058790791316,"Hotel, Commercial",,2017-03-01,2017.0,3.0,,,,,15252.0,ALTAIF,Under the construction
12, Commercial,1058790791316,"Hotel, Commercial, Tourist, Scientific",,,,,,,,,,KING ABDULLAH CITY,Suggested projects
13, Commercial,1058790791316,Commercial,,2016-07-01,2016.0,7.0,,,,,17344.0,RIYADH,Under the construction
14, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,,ABHA,Suggested projects
15, Commercial,1058790791316,Commercial,,,,,,,,,,ABHA,Suggested projects
16, Commercial,1058790791316,Commercial,,,,,,,,,,JEDDAH,Suggested projects
17, Commercial,1058790791316,"Commercial, Residential",,,,,,,,,9600.0,JEDDAH,Announced
18, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,,JEDDAH,Announced
19, Commercial,1058790791316,Commercial,,,,,,,,,,ABHA,Announced
20, Commercial,1058790791316,Commercial,,2018-07-01,2018.0,7.0,2019-09-30,2019.0,9.0,456.0,5400.0,ABHA,Under the construction
21, Commercial,1058790791316,Commercial,,2017-03-25,2017.0,3.0,,,,,4744.0,ALDAMMAM,Under the construction
22, Commercial,1058790791316,Commercial,,,,,,,,,,JEDDAH,Suggested projects
23, Commercial,1058790791316,"Hotel, Commercial",,2016-07-01,2016.0,7.0,,,,,5000.0,NAJRAN,Under the construction
24, Commercial,1058790791316,"Hotel, Commercial, Tourist",,,,,,,,,278709.0,RIYADH,Suggested projects
25, Commercial,1058790791316,Commercial,,,,,,,,,1600.0,JEDDAH,Announced
26, Commercial,1058790791316,Commercial,,2018-10-17,2018.0,10.0,,,,,20000.0,MECCA,Under the construction
27, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,,RIYADH,Suggested projects
28, Commercial,1058790791316,Commercial,,2018-06-01,2018.0,6.0,2019-03-31,2019.0,3.0,303.0,4400.0,ALKHOBAR,Late
29, Commercial,1058790791316,Commercial,,,,,,,,,96000.0,RIYADH,Announced
30, Commercial,1058790791316,Commercial,8000000.0,2018-11-01,2018.0,11.0,,,,,12000.0,ALDAMMAM,Under the construction
31, Commercial,1058790791316,"Commercial, Residential",,,,,,,,,62000.0,KING ABDULLAH CITY,Suggested projects
32, Commercial,1058790791316,Commercial,,2015-07-01,2015.0,7.0,2019-03-31,2019.0,3.0,1369.0,9700.0,RIYADH,Late
33, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,4040.0,RIYADH,Announced
34, Commercial,1058790791316,Commercial,,,,,,,,,,JEDDAH,Announced
35, Commercial,1058790791316,Commercial,,2016-06-01,2016.0,6.0,,,,,4000.0,RIYADH,Under the construction
36, Commercial,1058790791316,Commercial,,2018-06-01,2018.0,6.0,,,,,52600.0,ALKHOBAR,Under the construction
37, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,2500.0,JEDDAH,Suggested projects
38, Commercial,1058790791316,Commercial,,,,,,,,,,BRAIDAH,Suggested projects
39, Commercial,1058790791316,"Hotel, Commercial",,2017-11-01,2017.0,11.0,,,,,11000.0,RIYADH,Under the construction
40, Commercial,1058790791316,"Hotel, Commercial",,2013-10-01,2013.0,10.0,,,,,5500.0,BISHA,Under the construction
41, Commercial,1058790791316,"Commercial, Residential, Industrial",,2017-05-01,2017.0,5.0,,,,,1700000.0,RIYADH,Under the construction
42, Commercial,1058790791316,"Commercial, Industrial",,2017-03-01,2017.0,3.0,,,,,250000.0,RIYADH,Under the construction
43, Commercial,1058790791316,Commercial,,,,,,,,,2747.0,JEDDAH,Announced
44, Commercial,1058790791316,Commercial,,,,,,,,,4731.0,JEDDAH,Announced
45, Commercial,1058790791316,"Hotel, Infrastructure, Commercial, Tourist, Governmental",,,,,,,,,17000000.0,ABHA,Suggested projects
46, Commercial,1058790791316,"Hotel, Commercial, Residential",,,,,,,,,32645.0,KING ABDULLAH CITY,Announced
47, Commercial,1058790791316,"Hotel, Commercial, Residential",206250000.0,2017-02-01,2017.0,2.0,,,,,18213.0,ABHA,Under the construction
48, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,9500.0,JEDDAH,Announced
49, Commercial,1058790791316,"Commercial, Residential",,2019-01-01,2019.0,1.0,,,,,9000000.0,ALTAIF,Under the construction
50, Commercial,1058790791316,Commercial,18750000.0,,,,,,,,8000.0,ALKHOBAR,Suggested projects
51, Commercial,1058790791316,"Hotel, Infrastructure, Commercial, Tourist, Charity, Residential",,,,,,,,,7541130.0,MECCA,Announced
52, Commercial,1058790791316,"Hotel, Commercial",,2018-06-02,2018.0,6.0,2021-10-06,2021.0,10.0,1222.0,3989.0,MECCA,Under the construction
53, Commercial,1058790791316,"Hotel, Commercial",,2017-11-30,2017.0,11.0,2019-12-31,2019.0,12.0,761.0,8300.0,ALDAMMAM,Under the construction
54, Commercial,1058790791316,Commercial,,,,,,,,,8479.0,RIYADH,Under the construction
55, Commercial,1058790791316,"Commercial, Tourist",,2017-08-03,2017.0,8.0,2018-12-31,2018.0,12.0,515.0,13000.0,JEDDAH,Late
56, Commercial,1058790791316,Commercial,,,,,,,,,2500.0,JEDDAH,Suggested projects
57, Commercial,1058790791316,Commercial,,2018-04-18,2018.0,4.0,,,,,,BALJURASHI,Under the construction
58, Commercial,1058790791316,"Hotel, Commercial, Residential",,,,,,,,,40391.0,KING ABDULLAH CITY,Announced
59, Commercial,1058790791316,"Hotel, Commercial, Residential",,,,,,,,,405898.0,MECCA,Suggested projects
60, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,15000.0,JEDDAH,Announced
61, Commercial,1058790791316,Commercial,,,,,,,,,8800.0,RIYADH,Announced
62, Commercial,1058790791316,Commercial,,,,,,,,,,RIYADH,Under the construction
63, Commercial,1058790791316,"Hotel, Commercial, Residential",,,,,,,,,207212.0,JAZAN,Announced
64, Commercial,1058790791316,"Commercial, Tourist",,,,,,,,,105000.0,SHARMA,Announced
